city,Department,Region,Pop. 2013census,Rank,civ
Montrouge,Hauts-de-Seine,Île-de-France,49656,126,france
Sevran,Seine-Saint-Denis,Île-de-France,49465,127,france
Albi,Tarn,Occitanie,49432,128,france
Charleville-Mézières,Ardennes,Grand Est,48991,129,france
Suresnes,Hauts-de-Seine,Île-de-France,48066,130,france
Martigues,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,47904,131,france
Corbeil-Essonnes,Essonne,Île-de-France,47632,132,france
Saint-Ouen,Seine-Saint-Denis,Île-de-France,47534,133,france
Bayonne,Pyrénées-Atlantiques,Nouvelle-Aquitaine,47492,134,france
Cagnes-sur-Mer,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,46940,135,france
Brive-la-Gaillarde,Corrèze,Nouvelle-Aquitaine,46794,136,france
Carcassonne,Aude,Occitanie,46724,137,france
Massy,Essonne,Île-de-France,45902,138,france
Blois,Loir-et-Cher,Centre-Val de Loire,45539,139,france
Aubagne,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,45303,140,france
Saint-Brieuc,Côtes-d'Armor,Brittany,45331,141,france
Châteauroux,Indre,Centre-Val de Loire,45209,142,france
Chalon-sur-Saône,Saône-et-Loire,Bourgogne-Franche-Comté,45166,143,france
Mantes-la-Jolie,Yvelines,Île-de-France,45052,144,france
Meudon,Hauts-de-Seine,Île-de-France,45043,145,france
Saint-Malo,Ille-et-Vilaine,Brittany,44919,146,france
Châlons-en-Champagne,Marne,Grand Est,44899,147,france
Alfortville,Val-de-Marne,Île-de-France,44818,148,france
Sète,Hérault,Occitanie,44270,149,france
Salon-de-Provence,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,44263,150,france
Vaulx-en-Velin,Rhône,Auvergne-Rhône-Alpes,44087,151,france
Puteaux,Hauts-de-Seine,Île-de-France,43891,152,france
Rosny-sous-Bois,Seine-Saint-Denis,Île-de-France,43802,153,france
Saint-Herblain,Loire-Atlantique,Pays de la Loire,43784,154,france
Gennevilliers,Hauts-de-Seine,Île-de-France,43219,155,france
Le Cannet,Alpes-Maritimes,Provence-Alpes-Côte d'Azur,43187,156,france
Livry-Gargan,Seine-Saint-Denis,Île-de-France,43099,157,france
Saint-Priest,Rhône,Auvergne-Rhône-Alpes,42950,158,france
Istres,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,42937,159,france
Valenciennes,Nord,Hauts-de-France,42851,160,france
Choisy-le-Roi,Val-de-Marne,Île-de-France,42769,161,france
Caluire-et-Cuire,Rhône,Auvergne-Rhône-Alpes,42581,162,france
Boulogne-sur-Mer,Pas-de-Calais,Hauts-de-France,42537,163,france
Bastia,Haute-Corse,Corsica,42254,164,france
Angoulême,Charente,Nouvelle-Aquitaine,41970,165,france
Garges-lès-Gonesse,Val-d'Oise,Île-de-France,41782,166,france
Castres,Tarn,Occitanie,41636,167,france
Thionville,Moselle,Grand Est,41627,168,france
Wattrelos,Nord,Hauts-de-France,41522,169,france
Talence,Gironde,Nouvelle-Aquitaine,41517,170,france
Saint-Laurent-du-Maroni,Guyane,French Guiana,41515,171,france
Douai,Nord,Hauts-de-France,41189,172,france
Noisy-le-Sec,Seine-Saint-Denis,Île-de-France,41125,173,france
Tarbes,Hautes-Pyrénées,Occitanie,41062,174,france
Arras,Pas-de-Calais,Hauts-de-France,40830,175,france
Alès,Gard,Occitanie,40711,176,france
La Courneuve,Seine-Saint-Denis,Île-de-France,40678,177,france
Bourg-en-Bresse,Ain,Auvergne-Rhône-Alpes,40490,178,france
Compiègne,Oise,Hauts-de-France,40430,179,france
Gap,Hautes-Alpes,Provence-Alpes-Côte d'Azur,40255,180,france
Melun,Seine-et-Marne,Île-de-France,40066,181,france
Le Lamentin,Martinique,Martinique,40040,182,france
Rezé,Loire-Atlantique,Pays de la Loire,39568,183,france
Saint-Germain-en-Laye,Yvelines,Île-de-France,39547,184,france
Marcq-en-Barœul,Nord,Hauts-de-France,38392,185,france
Gagny,Seine-Saint-Denis,Île-de-France,39276,186,france
Anglet,Pyrénées-Atlantiques,Nouvelle-Aquitaine,39184,187,france
Draguignan,Var,Provence-Alpes-Côte d'Azur,39174,188,france
Chartres,Eure-et-Loir,Centre-Val de Loire,38840,189,france
Bron,Rhône,Auvergne-Rhône-Alpes,38746,190,france
Bagneux,Hauts-de-Seine,Île-de-France,38520,191,france
Colomiers,Haute-Garonne,Occitanie,38302,192,france
Saint-Martin-d'Hères,Isère,Auvergne-Rhône-Alpes,38019,193,france
Pontault-Combault,Seine-et-Marne,Île-de-France,37847,194,france
Montluçon,Allier,Auvergne-Rhône-Alpes,37839,195,france
Joué-lès-Tours,Indre-et-Loire,Centre-Val de Loire,37703,196,france
Saint-Joseph,Réunion,Réunion,37550,197,france
Poissy,Yvelines,Île-de-France,37461,198,france
Savigny-sur-Orge,Essonne,Île-de-France,37206,199,france
Cherbourg-Octeville,Manche,Normandy,37055,200,france
Montélimar,Drôme,Auvergne-Rhône-Alpes,36643,201,france
Villefranche-sur-Saône,Rhône,Auvergne-Rhône-Alpes,36531,202,france
Stains,Seine-Saint-Denis,Île-de-France,36365,203,france
Saint-Benoît,Réunion,Réunion,36131,204,france
Bagnolet,Seine-Saint-Denis,Île-de-France,35984,205,france
Châtillon,Hauts-de-Seine,Île-de-France,35964,206,france
Le Port,Réunion,Réunion,35881,207,france
Sainte-Geneviève-des-Bois,Essonne,Île-de-France,35868,208,france
Échirolles,Isère,Auvergne-Rhône-Alpes,35684,209,france
Roanne,Loire,Auvergne-Rhône-Alpes,35507,210,france
Villepinte,Seine-Saint-Denis,Île-de-France,35329,211,france
Saint-Chamond,Loire,Auvergne-Rhône-Alpes,35308,212,france
Conflans-Sainte-Honorine,Yvelines,Île-de-France,35213,213,france
Auxerre,Yonne,Bourgogne-Franche-Comté,34869,214,france
Nevers,Nièvre,Bourgogne-Franche-Comté,34841,215,france
Neuilly-sur-Marne,Seine-Saint-Denis,Île-de-France,34756,216,france
La Ciotat,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,34655,217,france
Tremblay-en-France,Seine-Saint-Denis,Île-de-France,34614,218,france
Thonon-les-Bains,Haute-Savoie,Auvergne-Rhône-Alpes,34610,219,france
Vitrolles,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,34493,220,france
Haguenau,Bas-Rhin,Grand Est,34419,221,france
Six-Fours-les-Plages,Var,Provence-Alpes-Côte d'Azur,34387,222,france
Agen,Lot-et-Garonne,Nouvelle-Aquitaine,34344,223,france
Creil,Oise,Hauts-de-France,34262,224,france
Annemasse,Haute-Savoie,Auvergne-Rhône-Alpes,34261,225,france
Saint-Raphaël,Var,Provence-Alpes-Côte d'Azur,34005,226,france
Marignane,Bouches-du-Rhône,Provence-Alpes-Côte d'Azur,33986,227,france
Romans-sur-Isère,Drôme,Auvergne-Rhône-Alpes,33632,228,france
Montigny-le-Bretonneux,Yvelines,Île-de-France,33625,229,france
Le Perreux-sur-Marne,Val-de-Marne,Île-de-France,33480,230,france
Franconville,Val-d'Oise,Île-de-France,33375,231,france
Mâcon,Saône-et-Loire,Bourgogne-Franche-Comté,33350,232,france
Saint-Leu,Réunion,Réunion,33154,233,france
Cambrai,Nord,Hauts-de-France,32852,234,france
Châtenay-Malabry,Hauts-de-Seine,Île-de-France,32623,235,france
Sainte-Marie,Réunion,Réunion,32605,236,france
Villeneuve-Saint-Georges,Val-de-Marne,Île-de-France,32575,237,france
Houilles,Yvelines,Île-de-France,32287,238,france
Épinal,Vosges,Grand Est,32188,239,france
Lens,Pas-de-Calais,Hauts-de-France,31647,240,france
Liévin,Pas-de-Calais,Hauts-de-France,31517,241,france
Les Mureaux,Yvelines,Île-de-France,31487,242,france
Schiltigheim,Bas-Rhin,Grand Est,31450,243,france
La Possession,Réunion,Réunion,31439,244,france
Meyzieu,Rhône,Auvergne-Rhône-Alpes,31438,245,france
Dreux,Eure-et-Loir,Centre-Val de Loire,31373,246,france
Nogent-sur-Marne,Val-de-Marne,Île-de-France,31367,247,france
Plaisir,Yvelines,Île-de-France,31342,248,france
Mont-de-Marsan,Landes,Nouvelle-Aquitaine,31334,249,france
Palaiseau,Essonne,Île-de-France,31264,250,france
Châtellerault,Vienne,Nouvelle-Aquitaine,31262,251,france
Goussainville,Val-d'Oise,Île-de-France,31212,252,france
L'Haÿ-les-Roses,Val-de-Marne,Île-de-France,31201,253,france
Viry-Châtillon,Essonne,Île-de-France,31132,254,france
Vigneux-sur-Seine,Essonne,Île-de-France,31126,255,france
Chatou,Yvelines,Île-de-France,30809,256,france
Trappes,Yvelines,Île-de-France,30979,257,france
Clichy-sous-Bois,Seine-Saint-Denis,Île-de-France,30725,258,france
Rillieux-la-Pape,Rhône,Auvergne-Rhône-Alpes,30645,259,france
Villenave-d'Ornon,Gironde,Nouvelle-Aquitaine,30633,260,france
Maubeuge,Nord,Hauts-de-France,30567,261,france
Charenton-le-Pont,Val-de-Marne,Île-de-France,30408,262,france
Malakoff,Hauts-de-Seine,Île-de-France,30304,263,france
Matoury,Guyane,French Guiana,30244,264,france
Dieppe,Seine-Maritime,Normandy,30214,265,france
